InstitutionID,University,City,State,Latitude,Longitude,Rank,Market Saturation Percentile,AE Percentile,aCFI Percentile,Collegiate Survivability Index (CSI),Endowment,Total Assets,Net Assets,Liabilities,CSI_Quantile,Quantile_Group,Quantile_Label
196866,Union College,Schenectady,NY,38.9505943,-92.3229551,377,0.4516278234710406,0.511135416583097,0.4516598229165816,0.4635361975122462,34318226.734,65877152.745,56893240.579,8983912.165999994,Stable,4,Stable
157377,Midway University,Midway,KY,38.64724015,-90.3084017158684,378,0.3621881059305445,0.6732704550795163,0.4596482660367622,0.4633770235999323,35559032.022,85216082.366,53292847.704,31923234.661999997,Stable,4,Stable
213826,Marywood University,Scranton,PA,38.62831,-90.19291581871602,379,0.3851465258378244,0.625011627748122,0.4605585266779763,0.4632754424459216,52839123.388,249933709.701,161621001.887,88312707.81400001,Stable,4,Stable
198835,Lenoir-Rhyne University,Hickory,NC,39.251379400000005,-94.41122222903628,380,0.4360775289623601,0.4649542213227691,0.4883449014524003,0.4627673822357199,161584213.369,343360591.809,247909731.275,95450860.534,Stable,4,Stable
190372,The Cooper Union for the Advancement of Science and Art,New York,NY,48.5523,-113.00878674597448,381,0.3047165454921071,0.4893075019203727,0.6072754162403857,0.4627003377555785,1008925583.794,1303199483.194,964961728.021,338237755.173,Stable,4,Stable
176336,Southeastern Baptist College,Laurel,MS,43.4141177,-71.97532444047863,382,0.2400564484960698,0.9446029529557984,0.4444598387460251,0.4626975315156017,0.0,2782001.732,1440768.54,1341233.1919999998,Stable,4,Stable
197911,Barton College,Wilson,NC,43.7033798,-72.28860224553567,383,0.4401519920090928,0.5370772003422106,0.4478260994517601,0.4625985189534385,32659105.628,87574592.167,51583578.147,35991014.02,Stable,4,Stable
147660,North Central College,Naperville,IL,42.7793366,-72.0558917,384,0.4698156793439912,0.4255409604908198,0.4738549830401842,0.4625816923844587,143675157.361,349500139.952,295352004.087,54148135.86500001,Stable,4,Stable
197984,Belmont Abbey College,Belmont,NC,43.0374605,-71.44783921922284,385,0.5121814549026272,0.4137988203662318,0.4370980800916166,0.4624663996594353,11215593.673,61008404.963,24442481.246,36565923.717,Stable,4,Stable
154527,Wartburg College,Waverly,IA,40.89807275,-74.0307211402726,386,0.3896005746673304,0.6047314056795224,0.4635168497263677,0.4621865210652943,105913802.997,251482515.192,156231747.705,95250767.487,Stable,4,Stable
155520,MidAmerica Nazarene University,Olathe,KS,40.27941055,-74.00680219986127,387,0.3201384321977052,0.3596452513068096,0.6539835551106022,0.4616406635273565,18812163.892,43059290.457,39979412.776,3079877.6810000017,Stable,4,Stable
213376,Lackawanna College,Scranton,PA,40.7448096,-74.0252392276461,388,0.3679909060595014,0.6304762344683568,0.4708608704973881,0.4616302829764738,11850306.892,95303731.074,72375630.993,22928100.081,Stable,4,Stable
169479,Davenport University,Grand Rapids,MI,40.7197638,-73.65197185396391,389,0.4619967178702227,0.5116829452132147,0.435261859770473,0.461229704504567,0.0,138509838.787,64351493.237,74158345.55,Stable,4,Stable
217998,Erskine College,Due West,SC,42.64943435,-73.77661197493438,390,0.4437349517265831,0.49660813616191,0.460853787286265,0.4611552592861897,28758257.237,62795114.037,55499075.894,7296038.142999999,Stable,4,Stable
183211,Rivier University,Nashua,NH,40.8094864,-73.96355097608796,391,0.3254623669166998,0.7067289504050034,0.4728676618343481,0.4606691559820546,42804791.229,188483944.753,118502518.258,69981426.49499999,Stable,4,Stable
145691,Illinois College,Jacksonville,IL,40.7013535,-73.942403,392,0.3802097756922807,0.5543229395487381,0.4939835683852405,0.460547268982909,139984448.094,200807061.076,161776305.951,39030755.125,Stable,4,Stable
233301,Randolph College,Lynchburg,VA,44.65958875,-75.00623974830918,393,0.4329623929044121,0.3310867428456775,0.5526350462616536,0.4604904463312391,211944670.913,298005649.457,310890641.099,-12884991.64199996,Stable,4,Stable
142294,The College of Idaho,Caldwell,ID,42.815403700000005,-75.53958155911818,394,0.4440140938283918,0.4264675074145154,0.4931876666086526,0.4601857950309183,135413929.835,187854697.707,175949466.75,11905230.956999987,Stable,4,Stable
181446,Nebraska Wesleyan University,Lincoln,NE,40.8152756,-73.9153259,395,0.4239155305315097,0.5010189171070938,0.4757539248786464,0.460074222925693,86489169.357,168205150.092,160503463.511,7701686.581,Stable,4,Stable
112075,Concordia University-Irvine,Irvine,CA,40.80775585,-73.96161411567529,396,0.4004282053098112,0.5456156476013736,0.4768865592185714,0.4600498082581803,77124887.42,410691842.142,212242129.241,198449712.901,Stable,4,Stable
140872,Reinhardt University,Waleska,GA,42.4529076,-76.48008423030923,397,0.4843672233377548,0.4134635344673712,0.4585031106858266,0.4598427580492634,47300054.92,95643231.318,75855191.643,19788039.675,Stable,4,Stable
193584,Nazareth University,Rochester,NY,42.0944203,-76.81553824542168,398,0.4002128352696107,0.4975015624082001,0.5003501010732527,0.4597357855992322,97344919.158,290312466.74,252971042.652,37341424.088,Stable,4,Stable
170037,Cornerstone University,Grand Rapids,MI,42.45997815,-75.07146882680061,399,0.4015328285188157,0.5137551310655535,0.4908234330412923,0.4597001667278037,21135676.681,119920259.835,113163877.874,6756381.960999996,Stable,4,Stable
180106,Carroll College,Helena,MT,40.71690825,-73.60002245039347,400,0.333722347949888,0.5314620780517259,0.5492358995330705,0.459499043340835,81671663.118,148284745.993,145849093.553,2435652.4399999976,Stable,4,Stable
160904,Xavier University of Louisiana,New Orleans,LA,42.41970355,-76.49833484728887,401,0.4329474020073984,0.4709484863096572,0.4794078986471635,0.4591373095146538,190208737.676,518787300.715,434362444.829,84424855.88599998,Stable,4,Stable
174899,The College of Saint Scholastica,Duluth,MN,40.7738393,-73.9831016,402,0.4202325714931432,0.5100019328572168,0.4695659451897973,0.4579206829832225,119172059.162,244109349.723,166156784.089,77952565.634,Stable,4,Stable
455257,Yeshiva of Machzikai Hadas,Brooklyn,NY,40.820249,-73.59671333637571,403,0.2671069937789803,0.690840663707033,0.5312438770244223,0.4575189350724239,0.0,25709175.382,22276603.571,3432571.8110000007,Stable,4,Stable
207324,Oklahoma Christian University,Edmond,OK,40.8125642,-73.96129536937597,404,0.3525999937264144,0.6673313246736875,0.4571970568483798,0.4573745314441848,66508111.676,110352594.279,88437162.19,21915432.089,Stable,4,Stable
209612,Pacific University,Forest Grove,OR,40.73547915,-73.9970708835668,405,0.4161031674072647,0.5006318108184428,0.4760604450555951,0.4569953457400211,69383733.016,346365037.135,221975247.319,124389789.81599998,Stable,4,Stable
