InstitutionID,University,City,State,Latitude,Longitude,Rank,Market Saturation Percentile,AE Percentile,aCFI Percentile,Collegiate Survivability Index (CSI),Endowment,Total Assets,Net Assets,Liabilities,CSI_Quantile,Quantile_Group,Quantile_Label
232557,Liberty University,Lynchburg,VA,37.4138,-79.1423,1,0.9986501019683699,0.9506324019128685,0.8208165481662044,0.9178823754956486,2889536146.25,5256912052.038,5084330260.383,172581791.65499973,Elite,7,Elite
183026,Southern New Hampshire University,Manchester,NH,42.9956,-71.4548,2,0.9986501019683699,0.9034220118140931,0.8097958008353758,0.9040345154331058,81544270.668,2407489301.237,1752657320.438,654831980.799,Elite,7,Elite
130253,Sacred Heart University,Fairfield,CT,41.1408,-73.2613,3,0.9986501019683699,0.7171262079979278,0.8102849067330768,0.8669897244305143,359938976.441,1896940622.682,1190055480.927,706885141.7549999,Elite,7,Elite
140951,Savannah College of Art and Design,Savannah,GA,32.0809,-81.0912,4,0.9986501019683699,0.687695778897506,0.8186772151478191,0.8644651834809197,450294890.895,2450827368.041,2187777962.432,263049405.60899973,Elite,7,Elite
166027,Harvard University,Cambridge,MA,42.3736,-71.1097,5,0.919090801612811,0.6433241402931644,0.9111516272485712,0.8607877884344448,1576052002.779,1666339562.473,1665480298.705,859263.7680001259,Elite,7,Elite
190415,Cornell University,Ithaca,NY,38.239284,-111.826761,6,0.9986501019683699,0.6588476969931373,0.8132982626000598,0.856545795098623,10458861072.035,19626833404.052,15722650828.117,3904182575.9349976,Elite,7,Elite
133553,Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,44.453665,-83.715279,7,0.9986501019683699,0.643235211216766,0.8168217371861296,0.8548349537212716,433488723.024,1931509807.099,1537872382.512,393637424.5869999,Elite,7,Elite
137847,The University of Tampa,Tampa,FL,38.440972,-124.882924,8,0.9986501019683699,0.6504872602301782,0.8105302476173843,0.8537667841936409,71056543.988,1289347232.047,956528570.545,332818661.502,Elite,7,Elite
228246,Southern Methodist University,Dallas,TX,44.914441,-78.488189,9,0.9986501019683699,0.6335774529530773,0.8158624184539804,0.8525204484877543,2457485744.064,5243410880.722,4136993725.935,1106417154.7870002,Elite,7,Elite
223232,Baylor University,Waco,TX,43.94704,-80.621983,10,0.9986501019683699,0.6347821953415568,0.8146306681275013,0.8522683300105544,2319964085.559,4378444034.314,3769239200.629,609204833.685,Elite,7,Elite
152080,University of Notre Dame,Notre Dame,IN,36.303765,-94.955144,11,0.9986501019683699,0.60438926686293,0.8247806282917516,0.8502547976654098,24010302260.643,33310786629.653,26376708779.71,6934077849.943001,Elite,7,Elite
228875,Texas Christian University,Fort Worth,TX,33.379017,-96.894772,12,0.9986501019683699,0.6274055970892625,0.8112243482863755,0.8494305388195021,3065408991.313,5761098595.589,4090875019.29,1670223576.2989998,Elite,7,Elite
196413,Syracuse University,Syracuse,NY,36.346555,-117.44674,13,0.9986501019683699,0.6106326347102713,0.8106898871977624,0.8458637323122788,2282785566.015,5086539190.483,3784430696.459,1302108494.0239997,Elite,7,Elite
164988,Boston University,Boston,MA,36.662093,-118.948035,14,0.9986501019683699,0.5957088591728892,0.8134080274183273,0.8439682692986261,4150309241.615,10363930649.288,7970951403.429,2392979245.859,Elite,7,Elite
136215,Nova Southeastern University,Fort Lauderdale,FL,32.369955,-82.401616,15,0.9986501019683699,0.5792838770508324,0.807641841645914,0.8383772878263072,272852556.471,2529296274.217,1363005253.594,1166291020.623,Elite,7,Elite
135726,University of Miami,Coral Gables,FL,38.018677,-80.595363,16,0.9986501019683699,0.5699201732405634,0.8104348480659012,0.8376232446039134,1723415781.048,8881937802.64,5024327321.165,3857610481.4749994,Elite,7,Elite
146719,Loyola University Chicago,Chicago,IL,44.999499,-75.197532,17,0.9986501019683699,0.5159266599973246,0.8357428720380479,0.8369582125002429,1120455031.69,2597316494.587,2542535436.214,54781058.37299967,Elite,7,Elite
144740,DePaul University,Chicago,IL,44.999499,-75.197532,18,0.9986501019683699,0.5662210471923685,0.808907108874239,0.8362723880823759,1231972454.115,2036550790.745,1744923676.07,291627114.67499995,Elite,7,Elite
195003,Rochester Institute of Technology,Rochester,NY,31.318166,-106.183052,19,0.9986501019683699,0.5510152285137313,0.809067899342208,0.8332970932737978,1660114774.307,3269942406.706,2559570796.358,710371610.348,Elite,7,Elite
186131,Princeton University,Princeton,NJ,30.336795,-119.796242,20,0.9381479566606512,0.5799704618905428,0.8487542140541718,0.8307728996649935,45087052885.495,52856365101.824,48581181910.45,4275183191.3740005,Elite,7,Elite
