UnitID,University,City,State,Denomination,Market_Saturation_Percentile,Academic_Efficiency_Percentile,aCFI_Percentile,Survivability,Quantile_Group,Rank,Endowment,Instructional_Costs,lat,lon
232557,Liberty University,Lynchburg,VA,Protestant,0.9986501019683699,0.9506324019128685,0.8208165481662044,0.9178823754956486,8,1,2889536146.25,508900530.873,37.35394665,-79.1531533219339
183026,Southern New Hampshire University,Manchester,NH,Not applicable,0.9986501019683699,0.9034220118140931,0.8097958008353758,0.9040345154331058,8,2,81544270.668,270207106.014,43.0374605,-71.44783921922284
130253,Sacred Heart University,Fairfield,CT,Roman Catholic               ,0.9986501019683699,0.7171262079979278,0.8102849067330768,0.8669897244305143,8,3,359938976.441,135900787.029,41.22259744999999,-73.24446729633347
140951,Savannah College of Art and Design,Savannah,GA,Roman Catholic,0.9986501019683699,0.687695778897506,0.8186772151478191,0.8644651834809197,8,4,450294890.895,140666980.664,32.07776915,-81.10099365718662
166027,Harvard University,Cambridge,MA,Not applicable,0.919090801612811,0.6433241402931644,0.9111516272485712,0.8607877884344448,8,5,1576052002.779,1271167930.417,42.36574324999999,-71.12221394207614
190415,Cornell University,Ithaca,NY,Not applicable,0.9986501019683699,0.6588476969931373,0.8132982626000598,0.856545795098623,8,6,10458861072.035,954636372.63,42.4529076,-76.48008423030923
133553,Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,Not applicable,0.9986501019683699,0.643235211216766,0.8168217371861296,0.8548349537212716,8,7,433488723.024,121106531.586,29.19175315,-81.04958387456502
137847,The University of Tampa,Tampa,FL,Not applicable,0.9986501019683699,0.6504872602301782,0.8105302476173843,0.8537667841936409,8,8,71056543.988,105620743.784,27.947357,-82.467766
228246,Southern Methodist University,Dallas,TX,Methodist,0.9986501019683699,0.6335774529530773,0.8158624184539804,0.8525204484877543,8,9,2457485744.064,167296895.328,32.84180114999999,-96.78152810147064
223232,Baylor University,Waco,TX,Baptist,0.9986501019683699,0.6347821953415568,0.8146306681275013,0.8522683300105544,8,10,2319964085.559,408636757.509,31.55043405,-97.1102905567766
152080,University of Notre Dame,Notre Dame,IN,Roman Catholic               ,0.9986501019683699,0.60438926686293,0.8247806282917516,0.8502547976654098,8,11,24010302260.643,456292336.991,41.70456775,-86.23822026017265
228875,Texas Christian University,Fort Worth,TX,Protestant,0.9986501019683699,0.6274055970892625,0.8112243482863755,0.8494305388195021,8,12,3065408991.313,266925707.792,32.7080148,-97.36119385339882
196413,Syracuse University,Syracuse,NY,Methodist,0.9986501019683699,0.6106326347102713,0.8106898871977624,0.8458637323122788,8,13,2282785566.015,484328217.283,43.01711285,-76.11855360009726
164988,Boston University,Boston,MA,Not applicable,0.9986501019683699,0.5957088591728892,0.8134080274183273,0.8439682692986261,8,14,4150309241.615,1289278205.374,42.3504215,-71.10322831831216
136215,Nova Southeastern University,Fort Lauderdale,FL,Not applicable,0.9986501019683699,0.5792838770508324,0.807641841645914,0.8383772878263072,8,15,272852556.471,366431809.83,26.08757885,-80.14968855039686
135726,University of Miami,Coral Gables,FL,Not applicable,0.9986501019683699,0.5699201732405634,0.8104348480659012,0.8376232446039134,8,16,1723415781.048,709279404.056,25.71727245,-80.2787068732586
146719,Loyola University Chicago,Chicago,IL,Roman Catholic               ,0.9986501019683699,0.5159266599973246,0.8357428720380479,0.8369582125002429,8,17,1120455031.69,207050433.089,41.99914920000001,-87.65737041681818
144740,DePaul University,Chicago,IL,Roman Catholic               ,0.9986501019683699,0.5662210471923685,0.808907108874239,0.8362723880823759,8,18,1231972454.115,244842557.236,41.9245803,-87.65072230067958
195003,Rochester Institute of Technology,Rochester,NY,Not applicable,0.9986501019683699,0.5510152285137313,0.809067899342208,0.8332970932737978,8,19,1660114774.307,288798019.993,43.0826701,-77.67293215211362
186131,Princeton University,Princeton,NJ,Interdenominational,0.9381479566606512,0.5799704618905428,0.8487542140541718,0.8307728996649935,8,20,45087052885.495,613207189.107,40.33867515,-74.65836549131683
193900,New York University,New York,NY,Not applicable,0.9986501019683699,0.5037178594369904,0.8072374252244351,0.8231097934534244,8,21,6034706438.394,2255051208.807,40.7292053,-73.99501481290962
130794,Yale University,New Haven,CT,Interdenominational,0.9848657267838433,0.5375765995619605,0.6722014469254292,0.7703243854528515,8,22,50681474134.498,1782750524.205,41.3135727,-72.9231731
138947,Clark Atlanta University,Atlanta,GA,Methodist,0.9888722646547018,0.4458832220479921,0.6782693297706209,0.7560254604970114,8,23,114792226.859,48019618.276,33.75012475,-84.41158897451389
227757,Rice University,Houston,TX,Not applicable,0.981737809122509,0.6202649749358573,0.5858760248270234,0.7510555034935439,8,24,9613198327.988,400718886.387,29.71679145,-95.40478113393792
147767,Northwestern University,Evanston,IL,Not applicable,0.991703769682534,0.624236873630273,0.5388244207504386,0.7370048217190625,8,25,12880933215.568,1106807415.452,42.0557157,-87.67529454739416
243744,Stanford University,Stanford,CA,Interdenominational,0.9841754580392027,0.5110797002510118,0.5986526126481964,0.7353173733318625,8,26,43678472171.516,2779346727.444,37.43131385,-122.1693653549831
139658,Emory University,Atlanta,GA,Methodist,0.9970239476879377,0.6767488989343298,0.5000216336109102,0.734100639348465,8,27,10491058820.98,862211574.756,33.7969409,-84.32371468406527
221999,Vanderbilt University,Nashville,TN,Not applicable,0.9371524741623315,0.608620960190214,0.5845739927513428,0.7303771162586274,8,28,11974481534.48,453264033.662,36.14380105,-86.80281889095295
217156,Brown University,Providence,RI,Not applicable,0.9382388781558925,0.6027996221677089,0.5799385206656693,0.7277927678162672,8,29,7887522073.543,393591915.185,41.8186395,-71.4088008716793
164924,Boston College,Chestnut Hill,MA,Roman Catholic               ,0.9875993394206649,0.6154495720157207,0.5237068116063784,0.727556811285139,8,30,4276658569.222,378863767.025,42.3401702,-71.167045
198419,Duke University,Durham,NC,Methodist,0.9920719135561643,0.5399230063488268,0.5384472834708549,0.7201467700452766,8,31,14751189917.749,1147405261.092,36.00015569999999,-78.94422972195878
198695,High Point University,High Point,NC,Methodist,0.9884792832362865,0.629333312885997,0.4973424014534821,0.7201330236737853,8,32,202020476.542,75212028.054,35.9720859,-79.9936582
217633,Anderson University,Anderson,SC,Baptist,0.836548072371482,0.5285949830659764,0.696208993576272,0.7188245504854683,8,33,30777700.896,38895667.508,34.51478935,-82.63874687710373
122931,Santa Clara University,Santa Clara,CA,Roman Catholic               ,0.9771572671526583,0.581777131927508,0.5274785977479335,0.7181593746253798,8,34,1667141461.573,203013711.368,37.3486243,-121.9365440053793
129242,Fairfield University,Fairfield,CT,Roman Catholic               ,0.9917237925632323,0.6392398347514034,0.4801007353924008,0.716510701916881,8,35,506631457.061,103130699.191,41.15967565,-73.25740310197213
