InstitutionID,University,City,State,Religion,Market_Saturation_Percentile,Academic_Efficiency_Percentile,aCFI_Percentile,Survivability,FullAddress,lat,lon,Quantile_Label,Quantile_Group,Rank,Universities_in_State
111966,Charles R Drew University of Medicine and Science,Los Angeles,CA,Not applicable,0.2382,0.39899999999999997,0.5,0.37512999999999996,"Charles R Drew University of Medicine and Science, Los Angeles, CA",33.92682765,-118.2423498962722,Critical,0,790,30
112260,Claremont McKenna College,Claremont,CA,Not applicable,0.4219,0.42310000000000003,0.5584,0.47678,"Claremont McKenna College, Claremont, CA",34.0999577,-117.7061791541111,Secure,4,324,30
115409,Harvey Mudd College,Claremont,CA,Not applicable,0.3632,0.4122,0.5311,0.44020000000000004,"Harvey Mudd College, Claremont, CA",34.10614005,-117.7087281497148,Stable,3,483,30
117140,University of La Verne,La Verne,CA,Not applicable,0.7136,0.5832,0.49520000000000003,0.60012,"University of La Verne, La Verne, CA",34.09986360000001,-117.7726224705835,Strong,6,123,30
120403,Otis College of Art and Design,Los Angeles,CA,Not applicable,0.3978,0.4048,0.4892,0.43579,"Otis College of Art and Design, Los Angeles, CA",33.95673905,-118.4171692394095,Stable,3,505,30
121257,Pitzer College,Claremont,CA,Not applicable,0.4192,0.4133,0.5012,0.45085000000000003,"Pitzer College, Claremont, CA",34.10471765,-117.7050428284479,Stable,3,423,30
121691,University of Redlands,Redlands,CA,Not applicable,0.342,0.5632,0.5028,0.45055999999999996,"University of Redlands, Redlands, CA",34.0635903,-117.1638542075837,Stable,3,425,30
126678,Colorado College,Colorado Springs,CO,Not applicable,0.6033,0.44789999999999996,0.5243,0.54063,"Colorado College, Colorado Springs, CO",38.8480439,-104.8239509314005,Strong,6,180,5
127653,Naropa University,Boulder,CO,Not applicable,0.2502,0.3994,0.4813,0.37252,"Naropa University, Boulder, CO",40.01407945,-105.2669594376209,Critical,0,799,5
128902,Connecticut College,New London,CT,Not applicable,0.7044,0.43170000000000003,0.508,0.5713,"Connecticut College, New London, CT",41.37913335,-72.10653061495535,Strong,6,148,14
129154,Goodwin University,East Hartford,CT,Not applicable,0.2963,0.5032,0.5124,0.42414,"Goodwin University, East Hartford, CT",41.74144325,-72.63784988620363,Vulnerable,2,572,14
129774,Mitchell College,New London,CT,Not applicable,0.2663,0.3932,0.4888,0.38072,"Mitchell College, New London, CT",41.32765375,-72.09621002993681,Critical,0,764,14
129941,University of New Haven,West Haven,CT,Not applicable,0.9401,0.7019,0.4876,0.7113700000000001,"University of New Haven, West Haven, CT",41.29091365,-72.96263883692575,Elite,7,64,14
130226,Quinnipiac University,Hamden,CT,Not applicable,0.958,0.8018000000000001,0.504,0.7450600000000001,"Quinnipiac University, Hamden, CT",41.41819485000001,-72.8931049147314,Elite,7,45,14
130697,Wesleyan University,Middletown,CT,Not applicable,0.7831999999999999,0.49079999999999996,0.5207,0.6197,"Wesleyan University, Middletown, CT",41.5559033,-72.65598837890627,Strong,6,109,14
130989,Goldey-Beacom College,Wilmington,DE,Not applicable,0.3064,0.42579999999999996,0.6539,0.46936,"Goldey-Beacom College, Wilmington, DE",,,Secure,4,353,2
131113,Wilmington University,New Castle,DE,Not applicable,0.3718,0.7981,0.5104,0.51246,"Wilmington University, New Castle, DE",39.68213315,-75.58699781308974,Healthy,5,240,2
133553,Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,Not applicable,0.9987,0.6285000000000001,0.5075999999999999,0.72815,"Embry-Riddle Aeronautical University-Daytona Beach, Daytona Beach, FL",29.19175315,-81.04958387456502,Elite,7,55,30
133711,Flagler College,Saint Augustine,FL,Not applicable,0.7306999999999999,0.46409999999999996,0.4928,0.5821999999999999,"Flagler College, Saint Augustine, FL",29.89194365,-81.32156855386452,Strong,6,136,30
133881,Florida Institute of Technology,Melbourne,FL,Not applicable,0.8384,0.7023,0.4984,0.67511,"Florida Institute of Technology, Melbourne, FL",28.064271,-80.6230040282868,Elite,7,82,30
135726,University of Miami,Coral Gables,FL,Not applicable,0.9987,0.9517,0.48840000000000006,0.7850400000000001,"University of Miami, Coral Gables, FL",25.71727245,-80.2787068732586,Elite,7,19,30
