InstitutionID,University,City,State,Latitude,Longitude,Rank,Market Saturation Percentile,AE Percentile,aCFI Percentile,Collegiate Survivability Index (CSI),Endowment,Total Assets,Net Assets,Liabilities,CSI_Quantile,Quantile_Group
199847,Wake Forest University,Winston-Salem,NC,35.552715,-116.794133,59,0.968581232675241,0.4950600538492897,0.49808926568522616,0.6856334638385294,1328272564.692,3081796601.788,2168581273.505,913215328.283,Elite,7
127060,University of Denver,Denver,CO,33.142605,-94.043822,60,0.9585206730531557,0.5495454935881973,0.4805909280710182,0.685499050736259,1330532838.483,2422601482.879,2082147541.686,340453941.1930001,Elite,7
227863,University of St Thomas,Houston,TX,35.103758,-96.144972,61,0.9395883107484005,0.6275545068880162,0.4550107082812603,0.6832847968493602,173653696.596,298712376.008,194828996.041,103883379.96700001,Elite,7
166683,Massachusetts Institute of Technology,Cambridge,MA,41.047068,-98.970673,62,0.7516811839004682,0.5681360922508432,0.6722204674888784,0.6831903413717899,32355542457.569,47756366520.958,45600216105.616,2156150415.342003,Elite,7
186584,Seton Hall University,South Orange,NJ,34.004667,-108.289047,63,0.9608916856563097,0.5757031246187809,0.45277503786123674,0.6805442098573194,383270423.496,915047913.842,541542855.583,373505058.25900006,Elite,7
102049,Samford University,Birmingham,AL,44.049819,-70.334503,64,0.9191025703090075,0.6016125806960717,0.47561677180433115,0.6781533048238102,490041746.4,1426368509.613,550385456.079,875983053.5339999,Elite,7
150163,Butler University,Indianapolis,IN,39.720531,-118.485164,65,0.9275685843833082,0.5855007225106157,0.4729993966093055,0.6772706298478011,310796684.426,840984614.275,629450712.985,211533901.28999996,Elite,7
194310,Pace University,New York,NY,30.097481,-98.369078,66,0.9369252922341846,0.5974869966732659,0.44672451236916694,0.6728932248495769,289332378.422,2068102061.797,659036258.969,1409065802.828,Elite,7
216597,Villanova University,Villanova,PA,39.136965,-82.955611,67,0.8686742397249158,0.5980686920684012,0.5144577665395464,0.6728227581795936,1518575983.857,2992573191.955,2703642789.471,288930402.4839997,Elite,7
144050,University of Chicago,Chicago,IL,33.306609,-83.079571,68,0.9259762033704309,0.551886735574338,0.47503723907475626,0.6707299452468629,10776747231.612,16380027502.755,9504208947.19,6875818555.564999,Elite,7
229267,Trinity University,San Antonio,TX,32.56708,-91.652529,69,0.7978631630892121,0.49890249007281023,0.6210059170291329,0.6673226546799896,1530069004.612,2395802973.643,2284341053.733,111461919.91000032,Elite,7
202480,University of Dayton,Dayton,OH,40.936902,-81.509254,70,0.8800257821858618,0.626059716998503,0.47490244806908594,0.6671276074413751,1005326808.243,2470674768.935,1986060460.863,484614308.072,Elite,7
225627,University of the Incarnate Word,San Antonio,TX,32.56708,-91.652529,71,0.9673836113619129,0.47112834950603405,0.46402673729902016,0.666738763516953,208463940.625,548829882.17,330697154.163,218132728.00699997,Elite,7
194824,Rensselaer Polytechnic Institute,Troy,NY,32.451037,-112.587207,72,0.8660373674612483,0.6550693975989373,0.4730368080215428,0.6665860463980021,1069422942.619,1883002542.575,1183465472.482,699537070.0929999,Elite,7
201645,Case Western Reserve University,Cleveland,OH,35.691832,-96.258511,73,0.8967746793418907,0.5558148737545079,0.4902984740054658,0.6659450368293356,2328022340.607,4689201894.945,3510779608.526,1178422286.4189997,Elite,7
160755,Tulane University of Louisiana,New Orleans,LA,44.84285,-100.221704,74,0.9254703683325878,0.5331151617422156,0.4718998485678444,0.6655196405253221,2472102985.898,4663281589.754,3164605920.789,1498675668.9649997,Elite,7
164748,Berklee College of Music,Boston,MA,32.982565,-114.407864,75,0.9224169575553592,0.5780483625861106,0.45170122601428003,0.6651972396582665,430083153.558,948054300.236,586532508.778,361521791.45799994,Elite,7
133881,Florida Institute of Technology,Melbourne,FL,39.599996,-100.650345,76,0.8212397468060497,0.7056447187543711,0.4767352383896736,0.6602615964302854,113778143.62,462958185.179,337219137.929,125739047.25,Elite,7
150534,University of Evansville,Evansville,IN,38.354246,-77.690833,77,0.7147841520055426,0.4439569886140419,0.71051110824958,0.6589357299324454,173163950.365,447971166.931,318507866.54,129463300.39099997,Elite,7
190150,Columbia University in the City of New York,New York,NY,30.097481,-98.369078,78,0.8463117714639232,0.5856359766255075,0.5076704934566703,0.6586784406172213,16951370243.68,28420631367.467,22347278783.937,6073352583.529999,Elite,7
222178,Abilene Christian University,Abilene,TX,40.269214,-70.548281,79,0.8966148250055407,0.4481860826266741,0.5178785108692616,0.6554036464866664,966154256.423,1513050151.689,1108270302.652,404779849.03699994,Elite,7
191649,Hofstra University,Hempstead,NY,42.642779,-108.204087,80,0.8823899692351168,0.5601117417293251,0.4753133861391115,0.6550545030016878,1052604456.551,1765243846.832,1323574305.194,441669541.638,Elite,7
225399,Houston Christian University,Houston,TX,35.103758,-96.144972,81,0.8704053162713552,0.594343823232395,0.470176327931983,0.6550489826794503,144351765.743,411534562.162,294078741.85,117455820.31199998,Elite,7
164173,Stevenson University,Owings Mills,MD,41.639999,-90.843497,82,0.8688734168593666,0.6041765343929836,0.46592121260986136,0.6546990379136846,141828815.066,376202372.25,226396983.611,149805388.639,Elite,7
168421,Worcester Polytechnic Institute,Worcester,MA,33.435721,-91.4703,83,0.8581856717651324,0.635546440294541,0.46088019586748646,0.6546784379399233,661633876.064,1453466703.837,850305423.419,603161280.4179999,Elite,7
233374,University of Richmond,University of Richmond,VA,30.481504,-84.295088,84,0.7486377661995923,0.5184118834027074,0.6203105735673097,0.6512590697370555,3493398999.977,4499176456.224,4124567083.985,374609372.23899984,Elite,7
132657,Lynn University,Boca Raton,FL,34.731796,-72.882539,85,0.8037087721534675,0.749928778787489,0.449134696469695,0.6510576063909626,41181258.704,211615339.332,146317352.785,65297986.54699999,Elite,7
137032,Saint Leo University,Saint Leo,FL,34.016113,-113.571665,86,0.7981321848227626,0.7528281018160139,0.45025393240450157,0.6498550220119255,93128067.766,236472556.328,130639659.076,105832897.252,Elite,7
